Date,Time,Strategy,Strategy_Name,Symbol,Signal,CMP,Entry,SL,T1,T2,RR,Confidence,RS,Sector,Regime,Regime_Score,Regime_Fit,Status,Exit_Date,Exit_Price,Exit_Reason,PnL_Pct
2026-04-15,11:58,EMA21_Bounce,21 EMA Bounce,APOLLOHOSP,BUY,7642.0,7642.0,7374.44,8043.34,8310.9,2.5,55,74.0,Pharma,ACCUMULATION,2,CAUTION,STOPPED,2026-04-15,7374.44,Stop Loss Hit,-3.5
2026-04-15,11:58,EMA21_Bounce,21 EMA Bounce,NESTLEIND,BUY,1256.6,1256.6,1207.02,1330.97,1380.55,2.5,55,57.0,FMCG,ACCUMULATION,2,CAUTION,STOPPED,2026-04-15,1207.02,Stop Loss Hit,-3.95
2026-04-15,11:58,52WH_Breakout,52-Week High Breakout,SIEMENS,BUY,3576.1,3576.1,3335.24,4039.66,4789.76,5.0,67,100.0,Capital Goods,ACCUMULATION,2,CAUTION,STOPPED,2026-04-15,3335.24,Stop Loss Hit,-6.74
2026-04-15,11:58,52WH_Breakout,52-Week High Breakout,SONACOMS,BUY,585.7,585.7,559.46,678.04,827.46,8.0,57,100.0,Auto Ancillary,ACCUMULATION,2,CAUTION,STOPPED,2026-04-15,559.46,Stop Loss Hit,-4.48
2026-04-15,11:58,Last30Min_ATH,Last 30 Min ATH,AUROPHARMA,BUY,1373.9,1373.9,1345.8,1539.46,1807.36,8.0,60,91.0,Pharma,ACCUMULATION,2,CAUTION,STOPPED,2026-04-15,1345.8,Stop Loss Hit,-2.05
2026-04-15,11:58,Last30Min_ATH,Last 30 Min ATH,SIEMENS,BUY,3576.1,3576.1,3365.6,4039.66,4789.76,5.8,64,100.0,Capital Goods,ACCUMULATION,2,CAUTION,STOPPED,2026-04-15,3365.6,Stop Loss Hit,-5.89
2026-04-15,11:58,Last30Min_ATH,Last 30 Min ATH,SONACOMS,BUY,585.7,585.7,573.1,678.04,827.46,8.0,64,100.0,Auto Ancillary,ACCUMULATION,2,CAUTION,STOPPED,2026-04-15,573.1,Stop Loss Hit,-2.15
2026-04-15,11:58,Last30Min_ATH,Last 30 Min ATH,ADANIPORTS,BUY,1511.8,1511.8,1480.9,1576.5,1583.9,2.3,58,73.0,Infra,ACCUMULATION,2,CAUTION,STOPPED,2026-04-15,1480.9,Stop Loss Hit,-2.04
2026-04-15,11:58,Last30Min_ATH,Last 30 Min ATH,POWERGRID,BUY,312.45,312.45,301.25,352.76,417.98,8.0,60,100.0,Energy,ACCUMULATION,2,CAUTION,STOPPED,2026-04-15,301.25,Stop Loss Hit,-3.58
2026-04-15,11:58,Last30Min_ATH,Last 30 Min ATH,TATAPOWER,BUY,421.85,421.85,410.0,470.89,550.24,8.0,64,94.0,Energy,ACCUMULATION,2,CAUTION,STOPPED,2026-04-15,410.0,Stop Loss Hit,-2.81
2026-04-15,11:58,Last30Min_ATH,Last 30 Min ATH,VEDL,BUY,766.05,766.05,741.1,853.94,996.16,8.0,60,100.0,Metals,ACCUMULATION,2,CAUTION,STOPPED,2026-04-15,741.1,Stop Loss Hit,-3.26
2026-04-15,11:58,Last30Min_ATH,Last 30 Min ATH,PFC,BUY,444.75,444.75,438.0,506.25,605.78,8.0,60,100.0,Finance,ACCUMULATION,2,CAUTION,STOPPED,2026-04-15,438.0,Stop Loss Hit,-1.52
2026-04-15,11:58,Failed_Breakout_Short,Failed Breakout Short,BHARTIARTL,SHORT,1855.7,1855.7,1907.42,1778.12,1726.4,2.5,57,46.0,Telecom,ACCUMULATION,2,CAUTION,OPEN,,,,
