Date,Time,Strategy,Strategy_Name,Symbol,Signal,CMP,Entry,SL,T1,T2,RR,Confidence,SQI,SQI_Grade,RS,Sector,Regime,Regime_Score,Regime_Fit,Data_Quality,Status,Exit_Date,Exit_Price,Exit_Reason,PnL_Pct
2026-07-10,13:04,VCP,VCP (Minervini v2),FEDERALBNK,BUY,329.85,334.3,316.61,369.65,426.85,5.2,49,33.3,WEAK,76.0,Financial Services,DISTRIBUTION,1,BLOCKED,OK,TARGET,2026-08-03,369.65,Target 1 Hit,10.57
2026-07-10,13:04,VCP,VCP (Minervini v2),SBIN,BUY,1036.0,1059.8,1006.64,1139.54,1192.7,2.5,41,32.5,WEAK,43.0,Financial Services,DISTRIBUTION,1,BLOCKED,OK,STOPPED,2026-07-23,1006.64,Stop Loss Hit,-5.02
2026-07-10,13:04,EMA21_Bounce,21 EMA Bounce,ATGL,BUY,723.9,723.9,693.11,770.08,800.87,2.5,55,57.1,MODERATE,93.0,Oil Gas & Consumable Fuels,DISTRIBUTION,1,BLOCKED,OK,STOPPED,2026-07-21,693.11,Stop Loss Hit,-4.25
2026-07-10,13:04,EMA21_Bounce,21 EMA Bounce,ADANIGREEN,BUY,1536.6,1536.6,1471.9,1633.65,1698.35,2.5,50,51.6,MODERATE,100.0,Power,DISTRIBUTION,1,BLOCKED,OK,STOPPED,2026-07-22,1471.9,Stop Loss Hit,-4.21
2026-07-10,13:04,EMA21_Bounce,21 EMA Bounce,BIOCON,BUY,418.5,418.5,398.2,448.95,469.25,2.5,50,51.1,MODERATE,86.0,Healthcare,DISTRIBUTION,1,BLOCKED,OK,EXPIRED,2026-07-27,436.25,Expired (17d > 15d),4.24
2026-07-10,13:04,EMA21_Bounce,21 EMA Bounce,BANDHANBNK,BUY,210.0,210.0,197.23,229.16,241.93,2.5,55,49.7,WEAK,88.0,Financial Services,DISTRIBUTION,1,BLOCKED,OK,STOPPED,2026-07-22,197.23,Stop Loss Hit,-6.08
2026-07-10,13:04,EMA21_Bounce,21 EMA Bounce,HAL,BUY,4506.8,4506.8,4349.63,4742.56,4808.6,1.9,55,46.7,WEAK,59.0,Capital Goods,DISTRIBUTION,1,BLOCKED,OK,EXPIRED,2026-07-27,4619.0,Expired (17d > 15d),2.49
2026-07-10,13:04,EMA21_Bounce,21 EMA Bounce,SBIN,BUY,1036.0,1036.0,1014.31,1068.54,1090.23,2.5,50,42.9,WEAK,43.0,Financial Services,DISTRIBUTION,1,BLOCKED,OK,STOPPED,2026-07-14,1014.31,Stop Loss Hit,-2.09
2026-07-10,13:04,EMA21_Bounce,21 EMA Bounce,CUMMINSIND,BUY,5621.5,5621.5,5493.66,5813.26,5869.0,1.9,45,42.0,WEAK,71.0,Capital Goods,DISTRIBUTION,1,BLOCKED,OK,STOPPED,2026-07-14,5493.66,Stop Loss Hit,-2.27
2026-07-10,13:04,EMA21_Bounce,21 EMA Bounce,GAIL,BUY,173.73,173.73,169.43,180.18,184.48,2.5,45,39.7,WEAK,69.0,Oil Gas & Consumable Fuels,DISTRIBUTION,1,BLOCKED,OK,STOPPED,2026-07-24,169.43,Stop Loss Hit,-2.48
