Date,Time,Strategy,Strategy_Name,Symbol,Signal,CMP,Entry,SL,T1,T2,RR,Confidence,RS,Sector,Regime,Regime_Score,Regime_Fit,Status,Exit_Date,Exit_Price,Exit_Reason,PnL_Pct
2026-02-13,13:53,VCP,VCP (Minervini),FEDERALBNK,BUY,288.3,298.25,272.3,337.17,388.78,3.5,73,95.0,Financial Services,ACCUMULATION,3,OK,OPEN,,,,
2026-02-13,13:53,VCP,VCP (Minervini),JINDALSTEL,BUY,1184.7,1207.0,1065.28,1419.58,1578.98,2.6,71,73.0,Metals & Mining,ACCUMULATION,3,OK,OPEN,,,,
2026-02-13,13:53,VCP,VCP (Minervini),KARURVYSYA,BUY,316.0,327.9,278.39,402.16,475.57,3.0,71,100.0,Financial Services,ACCUMULATION,3,OK,OPEN,,,,
2026-02-13,13:53,VCP,VCP (Minervini),APLAPOLLO,BUY,2245.9,2301.4,2011.95,2735.58,3290.65,3.4,70,100.0,Capital Goods,ACCUMULATION,3,OK,OPEN,,,,
2026-02-13,13:53,VCP,VCP (Minervini),BEL,BUY,435.55,460.0,412.81,530.78,588.71,2.7,70,59.0,Capital Goods,ACCUMULATION,3,OK,OPEN,,,,
2026-02-13,13:53,VCP,VCP (Minervini),JSWSTEEL,BUY,1232.0,1261.9,1159.73,1415.16,1567.22,3.0,70,63.0,Metals & Mining,ACCUMULATION,3,OK,OPEN,,,,
2026-02-13,13:53,VCP,VCP (Minervini),STARHEALTH,BUY,467.85,488.6,445.38,553.43,596.65,2.5,70,33.0,Financial Services,ACCUMULATION,3,OK,OPEN,,,,
2026-02-13,13:53,VCP,VCP (Minervini),UNOMINDA,BUY,1244.0,1255.0,1115.4,1464.4,1604.0,2.5,70,45.0,Automobile and Auto Components,ACCUMULATION,3,OK,OPEN,,,,
2026-02-13,13:53,VCP,VCP (Minervini),ASHOKLEY,BUY,204.63,215.42,182.03,265.5,331.32,3.5,68,100.0,Capital Goods,ACCUMULATION,3,OK,OPEN,,,,
2026-02-13,13:53,VCP,VCP (Minervini),AXISBANK,BUY,1332.3,1418.3,1282.22,1622.42,1744.17,2.4,68,67.0,Financial Services,ACCUMULATION,3,OK,OPEN,,,,
2026-02-13,13:53,VCP,VCP (Minervini),BAJAJ-AUTO,BUY,9760.0,9941.0,9146.14,11133.29,11892.31,2.5,68,72.0,Automobile and Auto Components,ACCUMULATION,3,OK,OPEN,,,,
2026-02-13,13:53,VCP,VCP (Minervini),EMCURE,BUY,1488.7,1565.2,1413.85,1792.23,1943.58,2.5,68,70.0,Healthcare,ACCUMULATION,3,OK,OPEN,,,,
2026-02-13,13:53,VCP,VCP (Minervini),GVT&D,BUY,3553.0,3819.0,3059.11,4958.84,5915.6,2.8,68,87.0,Capital Goods,ACCUMULATION,3,OK,OPEN,,,,
2026-02-13,13:53,VCP,VCP (Minervini),GESHIP,BUY,1300.1,1368.9,1148.44,1699.59,1886.26,2.3,68,84.0,Services,ACCUMULATION,3,OK,OPEN,,,,
2026-02-13,13:53,VCP,VCP (Minervini),MRPL,BUY,185.6,197.0,159.21,253.68,295.67,2.6,68,56.0,Oil Gas & Consumable Fuels,ACCUMULATION,3,OK,OPEN,,,,
2026-02-13,13:53,VCP,VCP (Minervini),MINDACORP,BUY,598.0,606.88,533.47,716.99,790.4,2.5,68,51.0,Automobile and Auto Components,ACCUMULATION,3,OK,OPEN,,,,
